library,postcode,latitude,longitude,county,region,country
Kirkliston Library,EH29 9BE,55.95526,-3.40152,Edinburgh,Scotland,United Kingdom
Leith Community Library,EH6 4AE,55.97527,-3.18078,Edinburgh,Scotland,United Kingdom
McDonald Road Library,EH7 4LU,55.96158,-3.1816,Edinburgh,Scotland,United Kingdom
Moredun Library,EH177HL,55.91296,-3.13313,Edinburgh,Scotland,United Kingdom
Morningside Library,EH10 4PU,55.9289,-3.2099,Edinburgh,Scotland,United Kingdom
Muirhouse Library,EH4 4TZ,55.97128,-3.25345,Edinburgh,Scotland,United Kingdom
Newington Library,EH9 2LN,55.93179,-3.18087,Edinburgh,Scotland,United Kingdom
Oxgangs Library,EH13 9LY,55.90478,-3.22295,Edinburgh,Scotland,United Kingdom
Piershill Library,EH8 7BQ,55.95507,-3.14255,Edinburgh,Scotland,United Kingdom
Portobello Library,EH15 1AU,55.95269,-3.1177,Edinburgh,Scotland,United Kingdom
Ratho Library,EH28 8TT,55.92227,-3.38423,Edinburgh,Scotland,United Kingdom
Sighthill Library,EH11 4PB,55.9206,-3.28726,Edinburgh,Scotland,United Kingdom
South Neighbourhood Office and Library,EH17 8QF,55.90298,-3.153,Edinburgh,Scotland,United Kingdom
South Queensferry Library,EH30 9RD,55.99121,-3.40032,Edinburgh,Scotland,United Kingdom
Stockbridge library,EH3 5BA,55.95937,-3.20747,Edinburgh,Scotland,United Kingdom
Wester Hailes Library,EH14 2ST,55.91627,-3.28504,Edinburgh,Scotland,United Kingdom
Castlebay Library,HS9 5XD,56.95561,-7.4877,Comhairle nan Eilean Siar,Scotland,United Kingdom
Lionacleit Community Library,HS7 5PJ,57.42557,-7.35857,Comhairle nan Eilean Siar,Scotland,United Kingdom
Stornoway Library,HS1 2DA,58.20859,-6.38826,Comhairle nan Eilean Siar,Scotland,United Kingdom
Tarbert Community Library,HS3 3BG,57.90171,-6.81385,Comhairle nan Eilean Siar,Scotland,United Kingdom
Bo'ness Library,EH51 0AH,56.01792,-3.60898,Falkirk,Scotland,United Kingdom
Bonnybridge Library,FK4 1AD,56.00021,-3.88668,Falkirk,Scotland,United Kingdom
Denny Library,FK6 6FA,56.0236,-3.90849,Falkirk,Scotland,United Kingdom
Falkirk Library,FK1 5AU,56.00162,-3.78859,Falkirk,Scotland,United Kingdom
Grangemouth Library,FK3 8AG,56.01907,-3.72195,Falkirk,Scotland,United Kingdom
Larbert Library,FK5 3JX,56.02426,-3.81698,Falkirk,Scotland,United Kingdom
Meadowbank Library,FK2 0GU,55.98581,-3.71912,Falkirk,Scotland,United Kingdom
Slamannan Library,FK1 3EX,55.93708,-3.83318,Falkirk,Scotland,United Kingdom
Benarty Library,KY5 8JH,56.15998,-3.32646,Fife,Scotland,United Kingdom
Lochgelly Library,KY5 9RD,56.12925,-3.31078,Fife,Scotland,United Kingdom
Cowdenbeath Library,KY4 9QA,56.11364,-3.34449,Fife,Scotland,United Kingdom
Cardenden Library,KY5 0EL,56.13918,-3.25042,Fife,Scotland,United Kingdom
Kelty Library,KY4 0AQ,56.1354,-3.38174,Fife,Scotland,United Kingdom
Dunfirmline Library,KY12 7NL,56.07026,-3.46186,Fife,Scotland,United Kingdom
Duloch Library,KY11 8LW,56.06195,-3.40223,Fife,Scotland,United Kingdom
Leslie Library,KY6 3AX,56.20065,-3.2156,Fife,Scotland,United Kingdom
Cadham Library,KY7 6RU,56.20794,-3.16979,Fife,Scotland,United Kingdom
Rothes Library,KY7 5NX,56.19605,-3.17608,Fife,Scotland,United Kingdom
Burntisland Library,KY3 9AS,56.05878,-3.23532,Fife,Scotland,United Kingdom
Kirkcaldy Library,KY1 1YG,56.11232,-3.16594,Fife,Scotland,United Kingdom
Templehall Library,KY2 6EX,56.12739,-3.18416,Fife,Scotland,United Kingdom
Windmill Library,KY1 2YY,56.13221,-3.12695,Fife,Scotland,United Kingdom
Leven Library,KY8 4HE,56.19595,-2.99649,Fife,Scotland,United Kingdom
Kennoway Library,KY8 5LA,56.21024,-3.04778,Fife,Scotland,United Kingdom
Buckhaven Library,KY8 1LD,56.17174,-3.03263,Fife,Scotland,United Kingdom
Methil Library,KY8 3QR,56.18328,-3.01908,Fife,Scotland,United Kingdom
Auchtermuchty Library,KY14 7AP,56.29193,-3.23319,Fife,Scotland,United Kingdom
Waid Library,KY10 3GY,56.22683,-2.70388,Fife,Scotland,United Kingdom
Newburgh Library,KY14 6DA,56.35088,-3.24019,Fife,Scotland,United Kingdom
Ladybank Library,KY15 7JS,56.27416,-3.12409,Fife,Scotland,United Kingdom
Elie Library,KY9 1AZ,56.18946,-2.83109,Fife,Scotland,United Kingdom
Cupar Library,KY15 5AS,56.31823,-3.01215,Fife,Scotland,United Kingdom
Newport Library,DD6 8DD,56.43948,-2.94037,Fife,Scotland,United Kingdom
St. Monans Library,KY10 2DH,56.20703,-2.76349,Fife,Scotland,United Kingdom
St. Andrews Library,KY16 9NN,56.33994,-2.79578,Fife,Scotland,United Kingdom
Tayport Library,DD6 9JY,56.44604,-2.88061,Fife,Scotland,United Kingdom
Anniesland Library and Learning Centre,G13 1LE,55.89056,-4.32494,Glasgow,Scotland,United Kingdom
Baillieston Library and Learning Centre,G69 6AH,55.85111,-4.10833,Glasgow,Scotland,United Kingdom
Barmulloch Library and Learning Centre,G21 3PX,55.89078,-4.20168,Glasgow,Scotland,United Kingdom
Bridgeton Library and Learning Centre,G40 2QH,55.85086,-4.22581,Glasgow,Scotland,United Kingdom
Busby Community Library,G76 8DX,55.78149,-4.26705,East Renfrewshire,Scotland,United Kingdom
Cardonald Library and Learning Centre,G52 3BU,55.84499,-4.34784,Glasgow,Scotland,United Kingdom
Castlemilk Library and Learning Centre,G45 9TN,55.80686,-4.23351,Glasgow,Scotland,United Kingdom
Clarkston Community Library,G76 8NE,55.79078,-4.27695,East Renfrewshire,Scotland,United Kingdom
Couper Institute Library,G44 3DA,55.81603,-4.26429,Glasgow,Scotland,United Kingdom
Dennistoun Library and Learning Centre,G31 2NA,55.85994,-4.22155,Glasgow,Scotland,United Kingdom
Drumchapel Library and Learning Centre,G15 8LX,55.91015,-4.37544,Glasgow,Scotland,United Kingdom
Easterhouse - The Library at the Bridge,G34 9JW,55.86798,-4.11893,Glasgow,Scotland,United Kingdom
Elder Park Library and Learning Centre,G51 3TZ,55.86199,-4.32195,Glasgow,Scotland,United Kingdom
Giffnock Community Library,G46 6JF,55.80424,-4.29392,East Renfrewshire,Scotland,United Kingdom
Gorbals Library and Learning Centre,G5 9XD,55.84926,-4.25066,Glasgow,Scotland,United Kingdom
Govanhill Library and Learning Centre,G42 7JU,55.83782,-4.26156,Glasgow,Scotland,United Kingdom
Hillhead Library and Learning Centre,G12 8AP,55.87654,-4.29169,Glasgow,Scotland,United Kingdom
Ibrox Library and Learning Centre,G51 1SL,55.852,-4.29935,Glasgow,Scotland,United Kingdom
Knightswood Library and Learning Centre,G13 3BB,55.88915,-4.35693,Glasgow,Scotland,United Kingdom
Langside Library and Learning Centre,G32 9QE,55.84074,-4.15661,Glasgow,Scotland,United Kingdom
Library at GOMA,G1 3AH,55.85982,-4.25251,Glasgow,Scotland,United Kingdom
Maryhill Library and Learning Centre,G20 9AD,55.89125,-4.29096,Glasgow,Scotland,United Kingdom
Milton Library and Learning Centre,G22 7QR,55.89697,-4.25566,Glasgow,Scotland,United Kingdom
Netherlee Community Library,G44 3PH,55.80321,-4.26715,Glasgow,Scotland,United Kingdom
Parkhead Library and Learning Centre,G31 4XA,55.85015,-4.19477,Glasgow,Scotland,United Kingdom
Partick Library and Learning Centre,G11 6AB,55.87057,-4.30389,Glasgow,Scotland,United Kingdom
Pollok Library and Learning Centre,G53 6EN,55.82239,-4.34965,Glasgow,Scotland,United Kingdom
Pollokshaws Library and Learning Centre,G43 1RW,55.82504,-4.2954,Glasgow,Scotland,United Kingdom
Pollokshields Library and Learning Centre,G41 2LF,55.84107,-4.27291,Glasgow,Scotland,United Kingdom
Possilpark Library and Learning Centre,G22 5JJ,55.88241,-4.25507,Glasgow,Scotland,United Kingdom
Riddrie Library and Learning Centre,G33 2QF,55.86702,-4.18483,Glasgow,Scotland,United Kingdom
Royston Library and Learning Centre,G21 2QW,55.86955,-4.23081,Glasgow,Scotland,United Kingdom
Shettleston Library and Learning Centre,G32 7AX,55.84864,-4.17522,Glasgow,Scotland,United Kingdom
Springburn Library and Learning Centre,G21 1JY,55.88406,-4.23006,Glasgow,Scotland,United Kingdom
The Mitchell Library,G3 7DN,55.86506,-4.27219,Glasgow,Scotland,United Kingdom
Thornliebank Community Library,G46 7JS,55.79801,-4.30375,East Renfrewshire,Scotland,United Kingdom
Whiteinch Library and Learning Centre,G14 9RL,55.87429,-4.33338,Glasgow,Scotland,United Kingdom
Woodside Library and Learning Centre,G3 6JQ,55.87164,-4.26749,Glasgow,Scotland,United Kingdom
Achiltibuie Library,IV26 2YG,58.02142,-5.34626,Highland,Scotland,United Kingdom
Alness Library,IV17 0QB,57.69629,-4.25738,Highland,Scotland,United Kingdom
Ardersier Library,IV2 7SU,57.56816,-4.03532,Highland,Scotland,United Kingdom
Ardnamurchan Community Library,PH36 4JA,56.70411,-5.57105,Highland,Scotland,United Kingdom
Aviemore Library,PH22 1SF,57.19919,-3.82752,Highland,Scotland,United Kingdom
Badenoch Library and Learning Centre,PH21 1EH,57.07894,-4.05199,Highland,Scotland,United Kingdom
Beauly Library,IV4 7EH,57.48149,-4.46462,Highland,Scotland,United Kingdom
Bettyhill Library/Service Point,KW14 7SS,58.52869,-4.22163,Highland,Scotland,United Kingdom
Bonar Bridge Library,IV24 3EA,57.89396,-4.34723,Highland,Scotland,United Kingdom
Broadford Library and Service Point,IV49 9AB,57.2419,-5.91238,Highland,Scotland,United Kingdom
Brora Library,KW9 6PD,58.01053,-3.85344,Highland,Scotland,United Kingdom
Caol Library,PH33 7DP,56.83864,-5.10778,Highland,Scotland,United Kingdom
Cromarty Library,IV11 8XA,57.68027,-4.0308,Highland,Scotland,United Kingdom
Culloden Library,IV2 7LL,57.48741,-4.14239,Highland,Scotland,United Kingdom
Dornoch Library,IV25 3SH,57.88073,-4.02953,Highland,Scotland,United Kingdom
Fort William Library,PH33 6EU,56.81921,-5.10916,Highland,Scotland,United Kingdom
Fortrose Community Library,IV10 8TW,57.57996,-4.12995,Highland,Scotland,United Kingdom
Gairloch Library,IV21 2BP,57.72888,-5.69272,Highland,Scotland,United Kingdom
Glenurquhart Community Library,IV63 6XA,57.3282,-4.48478,Highland,Scotland,United Kingdom
Golspie Library,KW10 6RF,57.97549,-3.97342,Highland,Scotland,United Kingdom
Grantown on Spey Library,PH26 3HF,57.33147,-3.60675,Highland,Scotland,United Kingdom
Helmsdale Library/Service Point,KW8 6JX,58.11575,-3.64963,Highland,Scotland,United Kingdom
Inshes Community Library,IV2 3RF,57.46434,-4.19095,Highland,Scotland,United Kingdom
Invergordon Library,IV18 0DG,57.68838,-4.17136,Highland,Scotland,United Kingdom
Inverness Library,IV1 1NH,57.48097,-4.22571,Highland,Scotland,United Kingdom
Kinlochleven Library,PH50 4QH,56.71501,-4.96597,Highland,Scotland,United Kingdom
Knoydart Library,PH41 4PL,57.04051,-5.69777,Highland,Scotland,United Kingdom
Kyle of Lochalsh Library,IV40 8AB,57.28163,-5.71594,Highland,Scotland,United Kingdom
Lairg Library Community Centre,IV27 4DD,58.02355,-4.39717,Highland,Scotland,United Kingdom
Lochcarron Library,IV54 8YQ,57.39041,-5.51058,Highland,Scotland,United Kingdom
Muir of Ord Library,IV6 7RR,57.5163,-4.45328,Highland,Scotland,United Kingdom
Nairn Library,IV12 4AU,57.58505,-3.86835,Highland,Scotland,United Kingdom
Plockton Library,IV52 8TG,57.34167,-5.64921,Highland,Scotland,United Kingdom
Portree Community Library,IV51 9ET,57.41278,-6.20359,Highland,Scotland,United Kingdom
Tain Library,IV19 1AZ,57.81029,-4.05338,Highland,Scotland,United Kingdom
Thurso Library,KW14 7AF,58.59165,-3.52422,Highland,Scotland,United Kingdom
Ullapool Community Library,IV26 2UN,57.89825,-5.1549,Highland,Scotland,United Kingdom
Wick Library,KW1 5SA,58.43551,-3.10536,Highland,Scotland,United Kingdom
Gourock Library,PA19 1QU,55.96121,-4.81798,Inverclyde,Scotland,United Kingdom
Greenock Central Library,PA15 1JB,55.94805,-4.75714,Inverclyde,Scotland,United Kingdom
Inverkip and Wemyss Bay Library,PA15 1XA,55.9505,-4.7621,Inverclyde,Scotland,United Kingdom
Kilmacolm Library,PA13 4HB,55.89385,-4.62792,Inverclyde,Scotland,United Kingdom
Port Glasgow Library,PA14 5EG,55.93488,-4.6874,Inverclyde,Scotland,United Kingdom
South West Branch Library,PA16 9HG,55.94231,-4.7851,Inverclyde,Scotland,United Kingdom
Watt Library,PA16 8JX,55.95108,-4.76722,Inverclyde,Scotland,United Kingdom
Dalkeith Library,EH22 1AE,55.89307,-3.07014,Midlothian,Scotland,United Kingdom
Danderhall Library,EH22 1QL,55.91577,-3.11037,Midlothian,Scotland,United Kingdom
Gorebridge Library,EH23 4TT,55.84505,-3.05035,Midlothian,Scotland,United Kingdom
Lasswade Library,EH19 2LA,55.87252,-3.11482,Midlothian,Scotland,United Kingdom
Loanhead Library,EH20 9LA,55.87883,-3.15441,Midlothian,Scotland,United Kingdom
Newbattle Library,EH22 4SX,55.87444,-3.04866,Midlothian,Scotland,United Kingdom
Newtongrange Library,EH22 4LG,55.86726,-3.06587,Midlothian,Scotland,United Kingdom
Penicuik Library,EH26 9EP,55.83005,-3.22962,Midlothian,Scotland,United Kingdom
Roslin Library,EH25 9LD,55.85717,-3.16467,Midlothian,Scotland,United Kingdom
Aberlour Library,AB38 9QA,57.47128,-3.22423,Moray,Scotland,United Kingdom
Buckie Library,AB56 1HB,57.67615,-2.96735,Moray,Scotland,United Kingdom
Burghead Library,IV30 5UQ,57.70072,-3.48675,Moray,Scotland,United Kingdom
Cullen Library,AB56 4AF,57.68832,-2.81593,Moray,Scotland,United Kingdom
Dufftown Library,AB55 4AB,57.44542,-3.12835,Moray,Scotland,United Kingdom
Elgin Library,IV30 1HS,57.65082,-3.31387,Moray,Scotland,United Kingdom
Forres Library,IV36 1BU,57.61206,-3.60966,Moray,Scotland,United Kingdom
Keith Library,AB55 5DP,57.54272,-2.9539,Moray,Scotland,United Kingdom
Lossiemouth Library,IV31 6JU,57.71356,-3.29618,Moray,Scotland,United Kingdom
Tomintoul Library,AB37 9HA,57.25421,-3.38285,Moray,Scotland,United Kingdom
Ardrossan Library,KA22 8BT,55.6405,-4.81557,North Ayrshire,Scotland,United Kingdom
Arran Library,KA27 8DL,55.5776,-5.15342,North Ayrshire,Scotland,United Kingdom
Stevenston Library,KA20 3AB,55.64061,-4.75658,North Ayrshire,Scotland,United Kingdom
Beith Library,KA15 2AD,55.75169,-4.63177,North Ayrshire,Scotland,United Kingdom
Bourtreehill Library,KA11 1JU,55.61924,-4.63465,North Ayrshire,Scotland,United Kingdom
"Dalry Library, Dalry",KA24 5AW,55.70858,-4.71987,North Ayrshire,Scotland,United Kingdom
Dreghorn Library,KA11 4AQ,55.61017,-4.61638,North Ayrshire,Scotland,United Kingdom
Fairlie Library,KA29 0AD,55.75916,-4.85448,North Ayrshire,Scotland,United Kingdom
Irvine Library,KA12 8AN,55.616,-4.66766,North Ayrshire,Scotland,United Kingdom
Kilbirnie Library,KA25 6BL,55.75105,-4.68652,North Ayrshire,Scotland,United Kingdom
Kilwinning Library,KA13 6EP,55.65256,-4.70269,North Ayrshire,Scotland,United Kingdom
Largs Library,KA30 9AG,55.79558,-4.8659,North Ayrshire,Scotland,United Kingdom
Millport Library,KA28 0DG,55.75393,-4.92661,North Ayrshire,Scotland,United Kingdom
Saltcoats Library,KA21 5LS,55.63554,-4.78717,North Ayrshire,Scotland,United Kingdom
Skelmorlie Library,PA17 5AH,55.87086,-4.88425,North Ayrshire,Scotland,United Kingdom
West Kilbride Library,KA23 9EQ,55.69495,-4.85999,North Ayrshire,Scotland,United Kingdom
Abronhill Library,G67 3BE,55.95996,-3.9517,North Lanarkshire,Scotland,United Kingdom
Airdrie Public Library,ML6 0AG,55.86645,-3.98299,North Lanarkshire,Scotland,United Kingdom
Bellshill Cultural Centre Library,ML4 1RJ,55.8183,-4.02286,North Lanarkshire,Scotland,United Kingdom
Chapelhall Library,ML6 8XW,55.83904,-3.94919,North Lanarkshire,Scotland,United Kingdom
Chryston Library,G69 9DL,55.9043,-4.10421,North Lanarkshire,Scotland,United Kingdom
Cleland Library,ML1 5QW,55.80217,-3.91404,North Lanarkshire,Scotland,United Kingdom
Coatbridge Library,ML5 3BJ,55.86168,-4.02434,North Lanarkshire,Scotland,United Kingdom
Condorrat Library,G68 9AE,55.93634,-4.02769,North Lanarkshire,Scotland,United Kingdom
Cumbernauld Central Library,G67 1EE,55.94691,-3.98985,North Lanarkshire,Scotland,United Kingdom
Eastfield Library,G68 9JH,55.95087,-4.00389,North Lanarkshire,Scotland,United Kingdom
Kilsyth Library,G65 0HT,55.97744,-4.05128,North Lanarkshire,Scotland,United Kingdom
Moodiesburn Library,G69 0DL,55.91208,-4.0919,North Lanarkshire,Scotland,United Kingdom
Motherwell Library,ML1 3BZ,55.78916,-3.99395,North Lanarkshire,Scotland,United Kingdom
New Stevenston Library,ML1 4HX,55.81149,-3.98104,North Lanarkshire,Scotland,United Kingdom
Newarthill Library,ML1 5BB,55.814,-3.94833,North Lanarkshire,Scotland,United Kingdom
Newmains Library,ML2 9AX,55.78318,-3.87876,North Lanarkshire,Scotland,United Kingdom
Shotts Library,ML7 5EN,55.81893,-3.79086,North Lanarkshire,Scotland,United Kingdom
Stepps Library,G33 6FH,55.89395,-4.14006,North Lanarkshire,Scotland,United Kingdom
Viewpark Library,G71 5AT,55.8291,-4.05175,North Lanarkshire,Scotland,United Kingdom
Wishaw Library,ML2 7LP,55.77497,-3.92057,North Lanarkshire,Scotland,United Kingdom
Orkney Library and Archive,KW15 1AG,58.982,-2.96238,Orkney Islands,Scotland,United Kingdom
Stromness Library,KW16 3AA,58.96333,-3.29768,Orkney Islands,Scotland,United Kingdom
A. K. Bell Library: Library Headquarters,PH2 8EP,56.39551,-3.43689,Perth and Kinross,Scotland,United Kingdom
Alyth Library,PH11 8AJ,56.62133,-3.22875,Perth and Kinross,Scotland,United Kingdom
Auchterarder Library,PH3 1BL,56.29693,-3.7074,Perth and Kinross,Scotland,United Kingdom
