library,postcode,latitude,longitude,county,region,country
St Leonards Library,G74 2AT,55.76354,-4.1517,South Lanarkshire,Scotland,United Kingdom
Stonehouse Library,ML9 3JL,55.68716,-3.99775,South Lanarkshire,Scotland,United Kingdom
Uddingston Library,G71 7PA,55.81883,-4.07862,South Lanarkshire,Scotland,United Kingdom
Balfron Library,G63 0TW,56.06954,-4.33588,Stirling,Scotland,United Kingdom
Bannockburn Library,FK7 8HZ,56.08952,-3.90981,Stirling,Scotland,United Kingdom
Bridge of Allan Library,FK9 4AT,56.15292,-3.94744,Stirling,Scotland,United Kingdom
Callander Library,FK17 8BN,56.24253,-4.21387,Stirling,Scotland,United Kingdom
Cambusbarron Library,FK7 9NU,56.10859,-3.96685,Stirling,Scotland,United Kingdom
Cowie Library,FK7 7BS,56.08034,-3.86839,Stirling,Scotland,United Kingdom
Doune Library,FK16 6BJ,56.18933,-4.05172,Stirling,Scotland,United Kingdom
Drymen Library,G63 0BL,56.066,-4.45351,Stirling,Scotland,United Kingdom
Dunblane Library,FK15 0ER,56.18865,-3.96335,Stirling,Scotland,United Kingdom
Fallin Library,FK7 7JE,56.10434,-3.8748,Stirling,Scotland,United Kingdom
Killin Library,FK21 8UW,56.46709,-4.31854,Stirling,Scotland,United Kingdom
Plean Library,FK7 8BT,56.06586,-3.87628,Stirling,Scotland,United Kingdom
Raploch Xpress Library,FK8 1RD,56.12954,-3.94553,Stirling,Scotland,United Kingdom
St Ninians Library,FK7 0DB,56.10146,-3.93377,Stirling,Scotland,United Kingdom
Stirling Council Library Service. Central Library,FK8 2HX,56.11808,-3.93884,Stirling,Scotland,United Kingdom
Strathblane Library,G63 9ED,55.98525,-4.3083,Stirling,Scotland,United Kingdom
Alexandria Library,G83 0DA,55.98712,-4.58344,West Dunbartonshire,Scotland,United Kingdom
Balloch Library,G83 8BW,56.00207,-4.57292,West Dunbartonshire,Scotland,United Kingdom
Clydebank Library,G81 1XH,55.90127,-4.4087,West Dunbartonshire,Scotland,United Kingdom
Dalmuir Library,G81 4LX,55.91167,-4.42879,West Dunbartonshire,Scotland,United Kingdom
Dumbarton Library,G82 1BD,55.94562,-4.56603,West Dunbartonshire,Scotland,United Kingdom
Duntocher Library,G81 6HF,55.92467,-4.41611,West Dunbartonshire,Scotland,United Kingdom
Faifley Library,G81 5BS,55.9308,-4.39352,West Dunbartonshire,Scotland,United Kingdom
Parkhall Library,G81 3EF,55.9152,-4.41309,West Dunbartonshire,Scotland,United Kingdom
Almondbank Library,EH54 5EH,55.89689,-3.49726,West Lothian,Scotland,United Kingdom
Armadale Community Centre and Library,EH48 3QB,55.89958,-3.69913,West Lothian,Scotland,United Kingdom
Bathgate Library,EH48 1TS,55.9014,-3.64425,West Lothian,Scotland,United Kingdom
Blackburn Connected,EH47 7LL,55.87462,-3.62018,West Lothian,Scotland,United Kingdom
Blackridge Library,EH48 3SP,55.88483,-3.76179,West Lothian,Scotland,United Kingdom
Carmondean Library,EH54 8PT,55.9018,-3.54598,West Lothian,Scotland,United Kingdom
East Calder Library,EH53 0EP,55.89636,-3.46054,West Lothian,Scotland,United Kingdom
Fauldhouse Partnership Centre,EH47 9JD,55.82953,-3.70419,West Lothian,Scotland,United Kingdom
Lanthorn Library,EH54 6QY,55.88522,-3.51537,West Lothian,Scotland,United Kingdom
Linlithgow Library,EH49 7EZ,55.97642,-3.60075,West Lothian,Scotland,United Kingdom
Pumpherston Library,EH53 0LF,55.90907,-3.49146,West Lothian,Scotland,United Kingdom
West Calder Library,EH55 8BQ,55.85277,-3.56673,West Lothian,Scotland,United Kingdom
Whitburn Library,EH47 0AR,55.86596,-3.68868,West Lothian,Scotland,United Kingdom
